A,B,p-value,Effect size
ran,ga1,0.345,"0.26, S"
ran,ga2,0.578,"0.143, N"
ran,vr_ran,0.448,"0.2, S"
ran,vr_ga1,0.515,"-0.2, S"
ran,vr_ga2,1.0,"0.0, N"
ran,vo_ran,0.212,"-0.34, M"
ran,vo_ga1,0.275,"-0.291, S"
ran,vo_ga2,0.473,"0.2, S"
ga1,ga2,0.93,"-0.029, N"
ga1,vr_ran,0.767,"-0.083, N"
ga1,vr_ga1,0.173,"-0.4, M"
ga1,vr_ga2,0.521,"-0.18, S"
ga1,vo_ran,0.054,"-0.52, L"
ga1,vo_ga1,0.084,"-0.455, M"
ga1,vo_ga2,0.623,"-0.14, N"
ga2,vr_ran,0.939,"-0.024, N"
ga2,vr_ga1,0.33,"-0.268, S"
ga2,vr_ga2,0.838,"-0.057, N"
ga2,vo_ran,0.084,"-0.429, M"
ga2,vo_ga1,0.198,"-0.312, S"
ga2,vo_ga2,0.93,"-0.029, N"
vr_ran,vr_ga1,0.157,"-0.396, M"
vr_ran,vr_ga2,0.767,"-0.083, N"
vr_ran,vo_ran,0.07,"-0.467, M"
vr_ran,vo_ga1,0.117,"-0.394, M"
vr_ran,vo_ga2,0.974,"-0.017, N"
vr_ga1,vr_ga2,0.36,"0.275, S"
vr_ga1,vo_ran,0.573,"-0.175, S"
vr_ga1,vo_ga1,0.6,"-0.159, S"
vr_ga1,vo_ga2,0.173,"0.4, M"
vr_ga2,vo_ran,0.14,"-0.4, M"
vr_ga2,vo_ga1,0.275,"-0.291, S"
vr_ga2,vo_ga2,0.734,"0.1, N"
vo_ran,vo_ga1,0.751,"0.091, N"
vo_ran,vo_ga2,0.021,"0.62, L"
vo_ga1,vo_ga2,0.073,"0.473, M"
